,PAREJA,Nombre y Apellido,Nombre y Apellido,"Jimena
Hoffner",Silvina Valz,"Gaston
Torelli","Martin
Ojeda",Laura Melo,"Graciela
Gonzalez","Aoniken
Quiroga","Paola
Tachetti","Facundo de
la Cruz",Stella Baez,"Agustin
Agnez","Magdalena
Gutierrez",Lucas Paez,"Roberto
Zuccarino",Analia Vega,"Dante
Sanchez",Carlos Stasi,"Mariana
Dragone","Monica
Matera",Noelia Barsi,PROMEDIO
73,395,Sebastián Martinez,Ayelen Morando,,,,,,7.850,6.300,6.980,7.100,7.300,,,,,,7.300,7.100,7.500,7.100,7.650,7.218
74,214,Cristian Correa,Miriam Copello,7.300,7.300,7.350,6.050,6.650,,,,,,7.600,7.400,7.750,7.800,6.950,,,,,,7.215
75,250,Vladislav Kurilko,Viktoriia Tsivinskaia,,,,,,7.850,7.000,6.600,6.950,6.950,,,,,,7.000,7.350,7.300,7.650,7.500,7.215
76,413,Grigorios Adamidis,Sofia Chatzipavlou,7.300,7.150,7.220,5.980,6.600,,,,,,7.800,7.310,7.800,7.100,7.800,,,,,,7.206
77,481,Martin Cayesse,Mauge Corna,,,,,,7.050,7.150,7.250,7.400,6.950,,,,,,7.600,7.100,7.200,7.100,7.200,7.200
78,32,Horacio Herrera,Sabrina Ramos Carrasco,,,,,,7.450,6.700,7.300,7.000,7.350,,,,,,6.700,7.700,7.300,6.500,8.000,7.200
79,343,Daniel Peralta,Meiling Wei,,,,,,7.400,7.000,6.900,7.500,7.100,,,,,,6.900,7.500,7.200,7.800,6.700,7.200
80,59,Mario Sergio,Vanessa Jardim,7.300,6.800,7.480,5.950,6.500,,,,,,7.500,7.450,7.800,8.000,7.200,,,,,,7.198
81,529,Csongor Kicsi,Laísa Souza,7.600,7.100,7.050,6.190,7.000,,,,,,7.100,7.380,7.800,7.500,7.200,,,,,,7.192
82,541,Juliano Andrade,Paula Emerick,7.500,7.000,7.200,6.100,7.000,,,,,,7.200,7.250,7.550,7.600,7.500,,,,,,7.190
83,358,Diego Ali Delgado,Tamara Borda,,,,,,7.500,6.700,7.250,7.250,7.000,,,,,,7.400,7.000,7.350,6.900,7.500,7.185
84,362,Lucio Javier Chavez,Nina Pauluzzi,,,,,,6.400,7.500,7.050,7.450,7.450,,,,,,6.700,7.000,6.900,7.900,7.500,7.185
85,459,Facundo Cabral,Mara Navarro,,,,,,6.500,7.000,7.100,7.400,7.100,,,,,,7.400,7.400,7.200,7.100,7.600,7.180
86,102,Ricardo Ariel Albornoz,Daniela Elizabeth Inglese,7.200,7.050,7.460,6.100,6.950,,,,,,7.600,7.470,7.700,7.300,6.950,,,,,,7.178
87,452,Ezequiel Mendoza,Magdalena Myszka,7.000,7.400,7.150,6.200,7.200,,,,,,6.500,7.420,7.690,7.700,7.500,,,,,,7.176
88,359,Luis Alberto Amaya,María Florencia Tellechea,,,,,,7.600,6.800,6.900,6.700,6.800,,,,,,7.000,7.200,7.200,7.950,7.600,7.175
89,244,Joel De La O,Verónica Peinado,,,,,,7.950,7.100,6.950,7.000,7.400,,,,,,6.600,7.350,7.150,7.700,6.500,7.170
90,331,Anahí Carballo,Natalia Fures,,,,,,7.500,6.700,6.900,7.250,7.100,,,,,,6.900,7.350,7.200,7.800,7.000,7.170
91,172,Pedro Ochoa,Lola Ruiz,,,,,,6.900,7.050,7.500,6.850,7.550,,,,,,6.800,7.400,7.100,6.700,7.800,7.165
